ciphersuite,handshakes/s
AES128-SHA256,724.409
AES128-GCM-SHA256,741.733
AES256-GCM-SHA384,725.417
ECDHE-RSA-AES128-SHA256,196.274
ECDHE-RSA-AES128-GCM-SHA256,181.551
ECDHE-RSA-AES256-GCM-SHA384,194.732
