idx,TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_CHACHA20_POLY1305_SHA256,AES128-SHA256,AES128-GCM-SHA256,AES256-GCM-SHA384,ECDHE-RSA-AES128-SHA256,ECDHE-RSA-AES128-GCM-SHA256,ECDHE-RSA-AES256-GCM-SHA384,ECDHE-RSA-CHACHA20-POLY1305
48,0.00211649,0.00188851,0.00148345,0.00124631,0.00118869,0.0027798,0.00192294,0.0018031,0.00170903,0.001697
49,0.00175413,0.00177802,0.00305242,0.00167018,0.00320138,0.00186745,0.00394396,0.00232142,0.00386134,0.00319543
50,0.00187222,0.00180274,0.00176229,0.00162272,0.00145544,0.00138734,0.00178066,0.00226099,0.00386337,0.00351953
51,0.00169205,0.00148507,0.00143839,0.0027982,0.00197412,0.00190609,0.00199994,0.00191755,0.00191819,0.00188047
52,0.00169974,0.00151247,0.0014444,0.00121763,0.00117475,0.00123511,0.00141392,0.00135043,0.00137246,0.00137468
53,0.00319691,0.00151954,0.00138503,0.00126429,0.00115205,0.00121697,0.0013611,0.00137456,0.00140433,0.00185687
54,0.0017538,0.00218577,0.00147958,0.00119314,0.00118339,0.00122261,0.00203381,0.00170922,0.00150492,0.00165891
55,0.00147368,0.00155982,0.00158743,0.00129741,0.00138108,0.00121256,0.00166268,0.00147405,0.001809,0.00143826
56,0.00152832,0.00151937,0.00144273,0.00155889,0.00121798,0.00120167,0.00151728,0.00148265,0.00163826,0.00142772
57,0.00156264,0.00149753,0.00182786,0.00305238,0.00267865,0.00149583,0.00158093,0.0016437,0.00158219,0.00157515
58,0.00153546,0.00150033,0.00199685,0.00127038,0.00278925,0.00136881,0.00159835,0.0014594,0.00154043,0.00138802
59,0.00149669,0.00138026,0.00150583,0.00133015,0.00116766,0.00126113,0.00152372,0.00195098,0.00212561,0.00167264
60,0.00145858,0.00155646,0.00149719,0.00124719,0.00143858,0.00123065,0.00153952,0.0014211,0.00149514,0.00142817
61,0.00138989,0.00156111,0.00144421,0.00124358,0.00138127,0.00163573,0.00178808,0.00175535,0.00175855,0.00173266
62,0.0018046,0.00181034,0.00171781,0.00141024,0.00160788,0.00164824,0.00157957,0.0015269,0.00144517,0.00146118
63,0.00318457,0.00204144,0.00203697,0.0014712,0.00119014,0.00126396,0.00147157,0.0014802,0.0016609,0.00192252
64,0.00165081,0.00150611,0.00156372,0.00120704,0.00124679,0.00137886,0.00144018,0.00153634,0.00141216,0.00151362
65,0.00205025,0.00313725,0.0015697,0.00131611,0.00127297,0.00133319,0.0019988,0.00208237,0.00209718,0.00189232
66,0.00195818,0.00190596,0.00156102,0.00120061,0.00119414,0.00119578,0.00174176,0.00221244,0.00201559,0.00184901
67,0.00220131,0.00217505,0.00205343,0.00154589,0.00122142,0.00122859,0.00137475,0.00141008,0.00141764,0.00155775
68,0.00159095,0.00182001,0.00176758,0.00158678,0.00133481,0.00135293,0.00157763,0.00135684,0.0013847,0.00158423
69,0.00147338,0.00148548,0.00200338,0.00176118,0.00224354,0.00198534,0.00226344,0.00169837,0.00144643,0.00145176
70,0.00139805,0.00196813,0.00209833,0.00125297,0.0011984,0.00124351,0.0013607,0.00134795,0.00142923,0.00135859
71,0.00139719,0.00144477,0.00147203,0.00114736,0.00116494,0.00120924,0.001367,0.00141978,0.00139979,0.001421
72,0.001562,0.00149858,0.00148024,0.00140875,0.00120742,0.00126383,0.0014396,0.00140351,0.00137259,0.00137861
73,0.00154832,0.00175994,0.00156586,0.0012139,0.00117212,0.00119302,0.00135977,0.00135944,0.00135643,0.0013233
74,0.00146269,0.00146654,0.00159788,0.00121481,0.00119074,0.00126464,0.00138178,0.00132669,0.00138542,0.00132683
75,0.00141153,0.00140571,0.00347969,0.00131246,0.00127353,0.00122101,0.0013987,0.0013739,0.00143483,0.00177443
76,0.00235042,0.00211899,0.0037106,0.0016417,0.00156129,0.00133197,0.00163334,0.0014103,0.00140648,0.00135249
77,0.00157581,0.00150527,0.00152898,0.00117294,0.00114008,0.00119047,0.00137594,0.00136292,0.00137529,0.00138055
78,0.0015033,0.00151334,0.00153336,0.00118828,0.00116253,0.00121295,0.00135964,0.00135594,0.00136111,0.00134589
79,0.00141433,0.00155727,0.00148717,0.00125336,0.00119868,0.00124869,0.00178228,0.00182934,0.0018095,0.00188277
80,0.00189982,0.00152197,0.00153462,0.00155167,0.00327442,0.00289678,0.001854,0.00184526,0.00178561,0.0018556
