idx,TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_CHACHA20_POLY1305_SHA256,TLS_RSA_WITH_RC4_128_SHA,TLS_RSA_WITH_3DES_EDE_CBC_SHA,TLS_RSA_WITH_AES_128_CBC_SHA,TLS_RSA_WITH_AES_256_CBC_SHA,TLS_RSA_WITH_AES_128_CBC_SHA256,TLS_RSA_WITH_AES_128_GCM_SHA256,TLS_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_RC4_128_SHA,TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256
20,0.001716026,0.001732658,0.001532236,0.00143991,0.001373145,0.001365117,0.001983245,0.001303696,0.002050633,0.002083473,0.00230422,0.001775459,0.001625814,0.002077759,0.003506258,0.001629242,0.001913278,0.003143316
21,0.001781426,0.003533028,0.002073287,0.001682484,0.00161541,0.00282328,0.001587543,0.002296668,0.002230696,0.002363434,0.001940379,0.001927987,0.001472523,0.001774654,0.001433687,0.002481731,0.001522885,0.002463495
22,0.001448759,0.002254248,0.003275641,0.001435863,0.001389452,0.001878983,0.002876208,0.001925064,0.002806168,0.002261481,0.001719375,0.002334789,0.001756782,0.003066616,0.001633071,0.001752511,0.001466099,0.003842474
23,0.001769921,0.003443825,0.004192492,0.002637609,0.002424007,0.004674588,0.002572604,0.004320255,0.003772814,0.003041886,0.004593997,0.003175998,0.004208954,0.002657062,0.003528381,0.003202242,0.00355668,0.003472786
24,0.003918785,0.005087832,0.004391227,0.003070671,0.00237891,0.002857933,0.002226515,0.00276295,0.002017467,0.002534505,0.001876219,0.002586122,0.001430854,0.00227622,0.001440296,0.002237879,0.001451449,0.002259254
25,0.00142943,0.002164,0.001791762,0.002016983,0.00150323,0.001770657,0.001532042,0.002927998,0.001312231,0.001301189,0.001441965,0.001449394,0.001437583,0.001429085,0.001434289,0.002238622,0.001468709,0.002246759
26,0.001406124,0.002152558,0.001428044,0.001932961,0.001280773,0.001915119,0.001259271,0.001791706,0.001250987,0.001401972,0.001440732,0.001441511,0.001438503,0.001439779,0.001417504,0.001427537,0.001446174,0.001414264
27,0.00141997,0.001458718,0.001435327,0.00126247,0.001386244,0.002883536,0.001324214,0.001256149,0.001365945,0.001268883,0.00144439,0.001443542,0.001487613,0.002320093,0.002946609,0.001442879,0.002404037,0.00146138
28,0.002214973,0.002718291,0.001608001,0.001961367,0.001695228,0.001482541,0.001968446,0.001399226,0.001670097,0.002332746,0.002217751,0.001719806,0.002286707,0.001761475,0.002277407,0.001780378,0.002351558,0.003474921
29,0.002275486,0.001908628,0.002340228,0.001877779,0.002534718,0.003132797,0.003116633,0.00296687,0.003012261,0.002273723,0.003384703,0.002520989,0.002448192,0.002831906,0.00212306,0.002647903,0.001925883,0.002498193
