ciphersuite,handshakes/s
TLS_AES_128_GCM_SHA256,379.921
TLS_AES_256_GCM_SHA384,341.686
TLS_CHACHA20_POLY1305_SHA256,366.687
AES128-SHA256,408.486
AES128-GCM-SHA256,373.469
AES256-GCM-SHA384,346.756
ECDHE-RSA-AES128-SHA256,315.104
ECDHE-RSA-AES128-GCM-SHA256,366.17
ECDHE-RSA-AES256-GCM-SHA384,379.097
ECDHE-RSA-CHACHA20-POLY1305,348.872
