idx,TLS13_AES_128_GCM_SHA256,TLS13_AES_256_GCM_SHA384,TLS13_CHACHA20_POLY1305_SHA256,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256
0,0.003303512,0.003275523,0.001966476,0.003083593,0.001773427,0.003038373
1,0.001488211,0.002313643,0.00144399,0.001382939,0.0029477,0.001861486
2,0.00341689,0.001622714,0.003661577,0.001553545,0.003163943,0.001378615
3,0.001479006,0.001546965,0.003715961,0.001886897,0.003328328,0.001687104
4,0.001317466,0.001547462,0.00160637,0.003508071,0.001832111,0.003680036
5,0.001328061,0.003247124,0.001210964,0.002900539,0.001631095,0.002885393
6,0.001129081,0.001287564,0.002826367,0.001485466,0.002790893,0.001368714
7,0.001173151,0.001172823,0.001118778,0.003170131,0.001601392,0.002443231
8,0.001099763,0.003127963,0.001174435,0.003084273,0.001449427,0.001994927
9,0.001210477,0.002865511,0.001211053,0.003027389,0.001356035,0.001206193
10,0.001112479,0.00303451,0.001106188,0.002871061,0.001384386,0.002773005
11,0.001155165,0.002206421,0.001176154,0.002662532,0.001425082,0.002894685
12,0.001128657,0.001128418,0.001162373,0.001137845,0.001520383,0.001796805
13,0.001320189,0.003281842,0.001263912,0.003226681,0.001164684,0.001325004
14,0.001391233,0.003420829,0.001249333,0.002987231,0.001376457,0.002767066
15,0.001170877,0.001264333,0.001151949,0.00315717,0.001469638,0.001550447
16,0.001326918,0.003390817,0.001214184,0.002299266,0.001286852,0.001765303
17,0.001822883,0.001926678,0.001566145,0.001665663,0.001799179,0.00147204
18,0.001143199,0.001132172,0.001286608,0.001296156,0.002775637,0.001436805
19,0.002554825,0.001275052,0.001099646,0.001190428,0.001176554,0.001181867
20,0.001105184,0.001417763,0.001124777,0.001212001,0.001288323,0.001167278
21,0.001152437,0.001156051,0.003121837,0.001503027,0.002805027,0.00131353
22,0.003553288,0.001181759,0.003187921,0.001306753,0.001932288,0.001382571
23,0.001486009,0.001574257,0.001365123,0.001624132,0.001350784,0.001314147
24,0.001135397,0.00115649,0.001228456,0.001141002,0.001163494,0.001200258
25,0.00113485,0.001173998,0.002733574,0.001593522,0.001644385,0.001517531
26,0.001337159,0.001629361,0.00131974,0.001374649,0.001292294,0.00114092
27,0.001127866,0.001342247,0.001327501,0.001178837,0.001375322,0.001216187
28,0.001133613,0.001263761,0.001202709,0.00114778,0.001292899,0.001227788
29,0.001137124,0.001254986,0.001323962,0.001171449,0.001261961,0.001241303
30,0.001139743,0.001239804,0.001199903,0.001101792,0.001198863,0.001226523
