ciphersuite,handshakes/s
TLS_AES_128_GCM_SHA256,384.914
TLS_AES_256_GCM_SHA384,353.11
TLS_CHACHA20_POLY1305_SHA256,292.796
AES128-SHA256,342.507
AES128-GCM-SHA256,368.369
AES256-GCM-SHA384,377.784
ECDHE-RSA-AES128-SHA256,297.422
ECDHE-RSA-AES128-GCM-SHA256,315.389
ECDHE-RSA-AES256-GCM-SHA384,293.084
ECDHE-RSA-CHACHA20-POLY1305,285.771
