idx,TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_CHACHA20_POLY1305_SHA256,AES128-SHA256,AES128-GCM-SHA256,AES256-GCM-SHA384,ECDHE-RSA-AES128-SHA256,ECDHE-RSA-AES128-GCM-SHA256,ECDHE-RSA-AES256-GCM-SHA384,ECDHE-RSA-CHACHA20-POLY1305
0,0.001963,0.00650843,0.00375351,0.00427502,0.00407063,0.00507238,0.00506818,0.00340909,0.00518317,0.00322182
1,0.00603645,0.00361211,0.00464993,0.00321218,0.00478053,0.00276714,0.00347678,0.00539655,0.00483678,0.00296946
2,0.00313917,0.00593901,0.00335224,0.00272055,0.00430032,0.00585997,0.00487458,0.00485065,0.00553393,0.00324177
3,0.00459631,0.0032102,0.00488742,0.00237317,0.00212573,0.00192438,0.00322277,0.00356761,0.00314251,0.00300736
4,0.00526603,0.00435869,0.00318664,0.00406382,0.00469111,0.00412356,0.00422721,0.00393391,0.00271196,0.00146134
5,0.00175,0.00225336,0.00300168,0.00224308,0.00370076,0.00293402,0.00454766,0.00407836,0.00366345,0.00453322
6,0.00288392,0.00304098,0.00281593,0.00225374,0.00132696,0.00117229,0.00132304,0.00212063,0.00342149,0.00226025
7,0.00183987,0.00168089,0.00142756,0.00131844,0.0022592,0.00146998,0.00148157,0.00160526,0.00150186,0.00312498
8,0.00145295,0.0014072,0.00154205,0.00254296,0.00280933,0.00275158,0.00346966,0.0041137,0.00275043,0.00235499
9,0.00270406,0.00274452,0.00262873,0.00271651,0.002286,0.00238173,0.00297125,0.00250783,0.00219779,0.00193746
10,0.0014728,0.00148774,0.0018701,0.00151242,0.00154495,0.00148557,0.00178249,0.00155708,0.00192413,0.00217838
11,0.00161906,0.00151223,0.00157507,0.00113801,0.00124408,0.00128954,0.00176897,0.00140037,0.00136151,0.00135755
12,0.00134715,0.00150801,0.00136344,0.00109457,0.00123287,0.00113648,0.00148399,0.0014704,0.00142718,0.00137836
13,0.00138598,0.00148561,0.00224472,0.0017404,0.00158978,0.00159074,0.00191123,0.0019976,0.00192209,0.00185493
14,0.00203855,0.00218559,0.0017924,0.00154665,0.00162631,0.00172373,0.00202615,0.0018615,0.00187605,0.00381739
15,0.00204869,0.00370162,0.00215513,0.00146236,0.00122887,0.0011519,0.0014497,0.00205063,0.00194854,0.00167888
16,0.00141721,0.00169801,0.00161069,0.00117492,0.00147538,0.00180516,0.00358008,0.0020786,0.00344095,0.00380406
17,0.00487348,0.00296471,0.00285408,0.00226244,0.00225046,0.00219622,0.00292597,0.00275064,0.00270655,0.00271392
18,0.00241903,0.00220628,0.00214203,0.00377102,0.00218533,0.00428591,0.00460061,0.00484025,0.00424619,0.00250528
19,0.00296645,0.00297562,0.00275753,0.00225346,0.00220864,0.00252737,0.00293639,0.00291608,0.00290772,0.0028546
20,0.00272119,0.00231118,0.00210146,0.00128055,0.00161102,0.00152711,0.00193551,0.00371497,0.00177188,0.00190928
21,0.00145508,0.00134909,0.00249343,0.00278845,0.00131494,0.00144452,0.00138921,0.00152991,0.00136404,0.00143215
22,0.00331178,0.00427045,0.00430488,0.0032045,0.00204619,0.00180018,0.00169952,0.00143556,0.00141457,0.00133373
23,0.00150541,0.00198861,0.0020748,0.00179503,0.00208238,0.00246981,0.00269149,0.00261808,0.00254555,0.00226842
24,0.00178267,0.00154167,0.0014103,0.00115877,0.00112584,0.00115562,0.00132101,0.00131181,0.00136611,0.00130483
25,0.00133036,0.00138959,0.00135944,0.00114694,0.0011288,0.00113728,0.00132841,0.00131365,0.00133862,0.00132171
