ciphersuite,handshakes/s
TLS13_AES_128_GCM_SHA256,2506.476
TLS13_AES_256_GCM_SHA384,1982.611
TLS13_CHACHA20_POLY1305_SHA256,2325.1384
TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,12694.107
TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,7311.0103
TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,11637.939
