ciphersuite,handshakes/s
TLS_AES_128_GCM_SHA256,514.698
TLS_AES_256_GCM_SHA384,468.229
TLS_CHACHA20_POLY1305_SHA256,512.461
AES128-SHA256,664.556
AES128-GCM-SHA256,684.649
AES256-GCM-SHA384,590.74
ECDHE-RSA-AES128-SHA256,561.361
ECDHE-RSA-AES128-GCM-SHA256,505.379
ECDHE-RSA-AES256-GCM-SHA384,489.115
ECDHE-RSA-CHACHA20-POLY1305,537.771
