ciphersuite,handshakes/s
TLS13_AES_128_GCM_SHA256,2493.8032
TLS13_AES_256_GCM_SHA384,1893.2083
TLS13_CHACHA20_POLY1305_SHA256,2325.392
TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,11674.369
TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,8085.4434
TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,13079.268
