ciphersuite,handshakes/s
TLS_AES_128_GCM_SHA256,549.305
TLS_AES_256_GCM_SHA384,519.142
TLS_CHACHA20_POLY1305_SHA256,545.118
AES128-SHA256,770.887
AES128-GCM-SHA256,726.155
AES256-GCM-SHA384,688.236
ECDHE-RSA-AES128-SHA256,596.575
ECDHE-RSA-AES128-GCM-SHA256,563.628
ECDHE-RSA-AES256-GCM-SHA384,583.105
ECDHE-RSA-CHACHA20-POLY1305,564.836
