idx,TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_CHACHA20_POLY1305_SHA256,AES128-SHA256,AES128-GCM-SHA256,AES256-GCM-SHA384,ECDHE-RSA-AES128-SHA256,ECDHE-RSA-AES128-GCM-SHA256,ECDHE-RSA-AES256-GCM-SHA384,ECDHE-RSA-CHACHA20-POLY1305
0,0.00444488,0.00415597,0.00329378,0.00231985,0.00223983,0.00219535,0.00196513,0.00156522,0.001307,0.00124344
1,0.00129364,0.00134311,0.00130669,0.00103214,0.00107001,0.001253,0.00128015,0.00126416,0.00136969,0.00124391
2,0.00131317,0.00133975,0.00131294,0.00102229,0.00107187,0.00108192,0.00122799,0.00121973,0.00125833,0.00138873
3,0.00132366,0.00134474,0.00138484,0.00106611,0.00106748,0.00109342,0.00123064,0.00121414,0.00126134,0.00154511
4,0.00224421,0.00150524,0.00136037,0.00118573,0.00107798,0.00107991,0.00123142,0.00122079,0.00123404,0.00123447
5,0.00126659,0.00131534,0.00135064,0.00110179,0.00282041,0.00303263,0.00314173,0.00181,0.00125376,0.00125678
6,0.00136624,0.00131818,0.00133435,0.00111841,0.00106987,0.00109047,0.00317318,0.0012637,0.00128604,0.0012426
7,0.00130841,0.00134239,0.00130121,0.001054,0.0011087,0.00115242,0.00127794,0.00129994,0.0029502,0.00128945
8,0.00130979,0.0029815,0.00137392,0.00259081,0.00141017,0.00110138,0.00125449,0.0012859,0.00123378,0.00152304
9,0.00129657,0.00131513,0.00131384,0.00103225,0.00260646,0.00106952,0.00123645,0.00132855,0.00125098,0.00152741
10,0.00131901,0.00149034,0.00154104,0.00114645,0.00266942,0.00125895,0.00147347,0.00123367,0.00173614,0.0013001
11,0.00128198,0.00347086,0.0035012,0.00164408,0.0013352,0.00118875,0.00141317,0.00336778,0.00315454,0.00396128
12,0.00231988,0.00247618,0.00258168,0.00214401,0.00208832,0.00211477,0.00254163,0.00346006,0.00309898,0.00271772
13,0.0027463,0.00292076,0.00254176,0.00213578,0.00198614,0.0018426,0.00210437,0.00167365,0.00186031,0.00159574
14,0.00170476,0.00160297,0.00173242,0.00133563,0.00123441,0.00126054,0.00155394,0.00168178,0.00160371,0.00151454
15,0.00155497,0.00157705,0.00169206,0.0012911,0.00136082,0.00141954,0.00154597,0.00168212,0.00157753,0.001773
16,0.00163993,0.00181705,0.001567,0.0030306,0.00279886,0.00338089,0.00387801,0.00268771,0.00399547,0.0038772
17,0.0037026,0.00383536,0.00367104,0.00343285,0.00320477,0.00317415,0.00269868,0.00214982,0.00378596,0.00375469
18,0.00368847,0.00357868,0.00341525,0.00248604,0.00275941,0.00287988,0.0029788,0.0020078,0.00126262,0.00150023
19,0.00130013,0.00151509,0.00174125,0.00133376,0.00115437,0.00124973,0.00150365,0.00120882,0.0012466,0.00150382
20,0.00128232,0.00130694,0.00130368,0.00101803,0.00264965,0.00174386,0.00139268,0.00122169,0.00153977,0.00121136
21,0.00127285,0.00132119,0.00132604,0.00102487,0.00105285,0.00254459,0.00123107,0.00122094,0.00138525,0.00122342
22,0.00126776,0.00130567,0.00128805,0.00253972,0.00105122,0.0024812,0.00124337,0.00147499,0.00123153,0.001232
23,0.00125967,0.00129884,0.00132963,0.00104677,0.001051,0.00107786,0.00123878,0.00121817,0.00157807,0.00122427
24,0.0012602,0.00142789,0.00131065,0.00292842,0.00106849,0.00174418,0.00123057,0.00122233,0.00123472,0.00122713
25,0.001267,0.00132056,0.00129137,0.00105732,0.00108121,0.0010747,0.00121437,0.00122559,0.00123968,0.00121413
26,0.00132615,0.00282697,0.00167761,0.00104525,0.00105131,0.00108416,0.0012314,0.00121539,0.00127214,0.00121969
27,0.00127588,0.00134986,0.00129948,0.00100676,0.00137355,0.00110478,0.0015363,0.00122677,0.00152745,0.0012163
28,0.00127409,0.00298858,0.00133158,0.00101807,0.00259684,0.00108288,0.00148957,0.00128032,0.00125315,0.00127356
29,0.00128865,0.00131045,0.00130911,0.00102073,0.00223746,0.00109319,0.00123556,0.00123727,0.00134098,0.00127919
30,0.00134293,0.00135414,0.00133745,0.00108302,0.0010562,0.00106403,0.00124214,0.00121526,0.00159461,0.00124416
31,0.00129053,0.00139409,0.00135741,0.00112177,0.00106153,0.00108176,0.00125425,0.00124877,0.00160098,0.00122441
32,0.00129594,0.00133565,0.00129895,0.00190241,0.00261417,0.001177,0.00129808,0.0012168,0.00126609,0.00122675
33,0.002578,0.00132773,0.00134802,0.00124606,0.00130108,0.00116628,0.0013066,0.00159227,0.00139025,0.00126588
34,0.0012798,0.00206737,0.00134536,0.00105103,0.00107173,0.00121167,0.0013388,0.00150343,0.00143645,0.00130438
35,0.00139061,0.0013204,0.00141582,0.00118062,0.00104351,0.00112686,0.00139476,0.00122902,0.00166404,0.00142499
36,0.00135625,0.00141219,0.0014297,0.00127313,0.0012473,0.00107486,0.00160779,0.00137469,0.00124759,0.00138233
37,0.00145862,0.00149665,0.00137031,0.00285802,0.00114065,0.00108675,0.00145959,0.00137248,0.00124652,0.00141286
38,0.00133012,0.00144955,0.00143413,0.00108472,0.00104993,0.00110987,0.0012422,0.00124063,0.00124921,0.00151662
39,0.00133288,0.00133329,0.00131338,0.00102639,0.00103276,0.00105802,0.00156156,0.00126288,0.00124911,0.00123147
40,0.00127445,0.00133373,0.00316823,0.00104765,0.00104428,0.00105694,0.00150946,0.00132372,0.00129169,0.00128081
41,0.00131377,0.00131694,0.00134948,0.00108065,0.00252991,0.00108119,0.0034774,0.00346478,0.00331624,0.00130653
42,0.0013158,0.00134399,0.00134632,0.00105201,0.00256348,0.00107405,0.001397,0.00122692,0.00160449,0.0012946
43,0.00138282,0.00136847,0.00137218,0.00109473,0.00105826,0.00108816,0.00124118,0.00154564,0.00129118,0.00152929
44,0.00130412,0.00139083,0.00132235,0.00106231,0.00110598,0.00268373,0.0013103,0.00124686,0.00126481,0.00121554
45,0.00127584,0.00317854,0.00140158,0.00106024,0.00106001,0.00253769,0.00132772,0.00137194,0.00133802,0.00122788
46,0.0020605,0.00131179,0.0013354,0.00116272,0.00112276,0.00108464,0.00131612,0.0012437,0.00124354,0.00122933
47,0.00129696,0.00131871,0.00131056,0.00113853,0.00266802,0.00117533,0.00130926,0.0012523,0.00128147,0.00124705
48,0.00128455,0.00132071,0.00132526,0.00105045,0.00276472,0.00114056,0.00131912,0.00131431,0.00128454,0.00127076
49,0.00133671,0.00132267,0.00130453,0.00108002,0.00267248,0.00310261,0.00127931,0.00123838,0.00148332,0.00127782
50,0.00129603,0.00133144,0.00135503,0.00103368,0.00102906,0.00185464,0.00310015,0.00313114,0.00174161,0.00153633
51,0.00183551,0.0030147,0.00307221,0.00267663,0.0026151,0.00165673,0.00152926,0.00128039,0.00157716,0.00123772
