ciphersuite,handshakes/s
TLS_AES_128_GCM_SHA256,523.042
TLS_AES_256_GCM_SHA384,476.395
TLS_CHACHA20_POLY1305_SHA256,517.411
AES128-SHA256,682.136
AES128-GCM-SHA256,623.647
AES256-GCM-SHA384,618.56
ECDHE-RSA-AES128-SHA256,521.329
ECDHE-RSA-AES128-GCM-SHA256,508.389
ECDHE-RSA-AES256-GCM-SHA384,487.533
ECDHE-RSA-CHACHA20-POLY1305,531.096
